"","SampleNumber","Species","Island","CulmenLenght","CulmenDepth","FlipperLength","BodyMass","Sex","Delta15N","Delta13C"
"65",71,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",33.5,19,190,3600,"FEMALE",7.88863,-26.63085
"66",72,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",39.7,18.4,190,3900,"MALE",9.29808,-25.23453
"67",73,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",39.6,17.2,196,3550,"FEMALE",8.33524,-26.55351
"68",74,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",45.8,18.9,197,4150,"MALE",8.18658,-26.45978
"69",75,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",35.5,17.5,190,3700,"FEMALE",8.70642,-26.15003
"70",76,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",42.8,18.5,195,4250,"MALE",8.2993,-26.38986
"71",77,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",40.9,16.8,191,3700,"FEMALE",8.47257,-26.02002
"72",78,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",37.2,19.4,184,3900,"MALE",8.3554,-26.44787
"73",79,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",36.2,16.1,187,3550,"FEMALE",7.82381,-26.51382
"74",80,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",42.1,19.1,195,4000,"MALE",9.05736,-25.81513
"75",81,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",34.6,17.2,189,3200,"FEMALE",7.69778,-26.5387
"76",82,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",42.9,17.6,196,4700,"MALE",8.63259,-26.23027
"77",83,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",36.7,18.8,187,3800,"FEMALE",7.88494,-26.24837
"78",84,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",35.1,19.4,193,4200,"MALE",8.90002,-26.46254
"79",85,"Adelie Penguin (Pygoscelis adeliae)","Dream",37.3,17.8,191,3350,"FEMALE",8.32718,-26.38396
"80",86,"Adelie Penguin (Pygoscelis adeliae)","Dream",41.3,20.3,194,3550,"MALE",9.14863,-26.09635
"81",87,"Adelie Penguin (Pygoscelis adeliae)","Dream",36.3,19.5,190,3800,"MALE",8.57087,-26.22227
"82",88,"Adelie Penguin (Pygoscelis adeliae)","Dream",36.9,18.6,189,3500,"FEMALE",8.59147,-26.08165
"83",89,"Adelie Penguin (Pygoscelis adeliae)","Dream",38.3,19.2,189,3950,"MALE",9.07826,-26.12417
"84",90,"Adelie Penguin (Pygoscelis adeliae)","Dream",38.9,18.8,190,3600,"FEMALE",8.36936,-26.11199
"85",91,"Adelie Penguin (Pygoscelis adeliae)","Dream",35.7,18,202,3550,"FEMALE",8.46531,-26.05621
"86",92,"Adelie Penguin (Pygoscelis adeliae)","Dream",41.1,18.1,205,4300,"MALE",8.77018,-25.83352
"87",93,"Adelie Penguin (Pygoscelis adeliae)","Dream",34,17.1,185,3400,"FEMALE",8.01485,-26.69543
"88",94,"Adelie Penguin (Pygoscelis adeliae)","Dream",39.6,18.1,186,4450,"MALE",8.49915,-26.42406
"89",95,"Adelie Penguin (Pygoscelis adeliae)","Dream",36.2,17.3,187,3300,"FEMALE",8.90723,-26.30037
"90",96,"Adelie Penguin (Pygoscelis adeliae)","Dream",40.8,18.9,208,4300,"MALE",8.48204,-26.57941
"91",97,"Adelie Penguin (Pygoscelis adeliae)","Dream",38.1,18.6,190,3700,"FEMALE",8.10277,-26.50086
"92",98,"Adelie Penguin (Pygoscelis adeliae)","Dream",40.3,18.5,196,4350,"MALE",8.39459,-26.01152
"93",99,"Adelie Penguin (Pygoscelis adeliae)","Dream",33.1,16.1,178,2900,"FEMALE",9.04218,-26.15775
"94",100,"Adelie Penguin (Pygoscelis adeliae)","Dream",43.2,18.5,192,4100,"MALE",8.97025,-26.03679
"95",101,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",35,17.9,192,3725,"FEMALE",8.84451,-26.28055
"96",102,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",41,20,203,4725,"MALE",9.01079,-26.38085
"97",103,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",37.7,16,183,3075,"FEMALE",9.2151,-26.2253
"98",104,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",37.8,20,190,4250,"MALE",9.51929,-25.69199
"99",105,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",37.9,18.6,193,2925,"FEMALE",9.02642,-25.86482
"100",106,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",39.7,18.9,184,3550,"MALE",8.85699,-25.80208
"101",107,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",38.6,17.2,199,3750,"FEMALE",8.77322,-26.48973
"102",108,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",38.2,20,190,3900,"MALE",9.59245,-25.70711
"103",109,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",38.1,17,181,3175,"FEMALE",9.79532,-25.27385
"104",110,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",43.2,19,197,4775,"MALE",9.31735,-25.45171
"105",111,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",38.1,16.5,198,3825,"FEMALE",8.43951,-26.57563
"106",112,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",45.6,20.3,191,4600,"MALE",8.65466,-26.32909
"107",113,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",39.7,17.7,193,3200,"FEMALE",9.02657,-26.06203
"108",114,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",42.2,19.5,197,4275,"MALE",8.80186,-26.41218
"109",115,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",39.6,20.7,191,3900,"FEMALE",8.80967,-26.78958
"110",116,"Adelie Penguin (Pygoscelis adeliae)","Biscoe",42.7,18.3,196,4075,"MALE",8.91434,-26.42018
"111",117,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",38.6,17,188,2900,"FEMALE",9.18021,-25.77264
"112",118,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",37.3,20.5,199,3775,"MALE",9.49645,-26.36678
"113",119,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",35.7,17,189,3350,"FEMALE",8.96436,-23.90309
"114",120,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",41.1,18.6,189,3325,"MALE",9.32277,-26.09989
"115",121,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",36.2,17.2,187,3150,"FEMALE",9.04296,-26.19444
"116",122,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",37.7,19.8,198,3500,"MALE",9.11066,-26.42563
"117",123,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",40.2,17,176,3450,"FEMALE",9.30722,-25.61039
"118",124,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",41.4,18.5,202,3875,"MALE",9.59462,-25.42621
"119",125,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",35.2,15.9,186,3050,"FEMALE",8.81668,-25.95399
"120",126,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",40.6,19,199,4000,"MALE",9.22537,-25.60826
"121",127,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",38.8,17.6,191,3275,"FEMALE",8.88098,-25.89741
"122",128,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",41.5,18.3,195,4300,"MALE",8.52566,-26.0245
"123",129,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",39,17.1,191,3050,"FEMALE",9.19031,-25.73722
"124",130,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",44.1,18,210,4000,"MALE",9.10702,-26.01363
"125",131,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",38.5,17.9,190,3325,"FEMALE",8.9846,-25.57956
"126",132,"Adelie Penguin (Pygoscelis adeliae)","Torgersen",43.1,19.2,197,3500,"MALE",8.86495,-26.1396
"127",133,"Adelie Penguin (Pygoscelis adeliae)","Dream",36.8,18.5,193,3500,"FEMALE",8.98705,-25.57647
"128",134,"Adelie Penguin (Pygoscelis adeliae)","Dream",37.5,18.5,199,4475,"MALE",8.56708,-26.49288
"129",135,"Adelie Penguin (Pygoscelis adeliae)","Dream",38.1,17.6,187,3425,"FEMALE",8.717,-25.77951
"130",136,"Adelie Penguin (Pygoscelis adeliae)","Dream",41.1,17.5,190,3900,"MALE",8.94365,-26.06943
"131",137,"Adelie Penguin (Pygoscelis adeliae)","Dream",35.6,17.5,191,3175,"FEMALE",8.75984,-25.97696
"132",138,"Adelie Penguin (Pygoscelis adeliae)","Dream",40.2,20.1,200,3975,"MALE",8.95998,-26.32601
"133",139,"Adelie Penguin (Pygoscelis adeliae)","Dream",37,16.5,185,3400,"FEMALE",8.61651,-26.07021
"134",140,"Adelie Penguin (Pygoscelis adeliae)","Dream",39.7,17.9,193,4250,"MALE",9.25769,-25.88798
"135",141,"Adelie Penguin (Pygoscelis adeliae)","Dream",40.2,17.1,193,3400,"FEMALE",9.2881,-25.54976
"136",142,"Adelie Penguin (Pygoscelis adeliae)","Dream",40.6,17.2,187,3475,"MALE",9.23408,-26.01549
"137",143,"Adelie Penguin (Pygoscelis adeliae)","Dream",32.1,15.5,188,3050,"FEMALE",8.79787,-26.61075
"138",144,"Adelie Penguin (Pygoscelis adeliae)","Dream",40.7,17,190,3725,"MALE",9.05674,-25.79529
"139",145,"Adelie Penguin (Pygoscelis adeliae)","Dream",37.3,16.8,192,3000,"FEMALE",9.06829,-25.85203
"140",146,"Adelie Penguin (Pygoscelis adeliae)","Dream",39,18.7,185,3650,"MALE",9.22033,-26.03442
"141",147,"Adelie Penguin (Pygoscelis adeliae)","Dream",39.2,18.6,190,4250,"MALE",9.11006,-25.79549
"142",148,"Adelie Penguin (Pygoscelis adeliae)","Dream",36.6,18.4,184,3475,"FEMALE",8.68744,-25.8306
"143",149,"Adelie Penguin (Pygoscelis adeliae)","Dream",36,17.8,195,3450,"FEMALE",8.94332,-25.79189
"144",150,"Adelie Penguin (Pygoscelis adeliae)","Dream",37.8,18.1,193,3750,"MALE",8.97533,-26.03495
"145",151,"Adelie Penguin (Pygoscelis adeliae)","Dream",36,17.1,187,3700,"FEMALE",8.93465,-26.07081
"146",152,"Adelie Penguin (Pygoscelis adeliae)","Dream",41.5,18.5,201,4000,"MALE",8.8964,-26.06967
"147",1,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.1,13.2,211,4500,"FEMALE",7.993,-25.5139
"148",2,"Gentoo penguin (Pygoscelis papua)","Biscoe",50,16.3,230,5700,"MALE",8.14756,-25.39369
"149",3,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.7,14.1,210,4450,"FEMALE",8.14705,-25.46172
"150",4,"Gentoo penguin (Pygoscelis papua)","Biscoe",50,15.2,218,5700,"MALE",8.2554,-25.40075
"151",5,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.6,14.5,215,5400,"MALE",8.2345,-25.54456
"152",6,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.5,13.5,210,4550,"FEMALE",7.9953,-25.32829
"153",7,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.4,14.6,211,4800,"FEMALE",8.24515,-25.46782
"154",8,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.7,15.3,219,5200,"MALE",8.22673,-25.4276
"155",9,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.3,13.4,209,4400,"FEMALE",8.13643,-25.32176
"156",10,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.8,15.4,215,5150,"MALE",8.1631,-25.38017
"157",11,"Gentoo penguin (Pygoscelis papua)","Biscoe",40.9,13.7,214,4650,"FEMALE",8.19579,-25.3933
"158",12,"Gentoo penguin (Pygoscelis papua)","Biscoe",49,16.1,216,5550,"MALE",8.10417,-25.50562
"159",13,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.5,13.7,214,4650,"FEMALE",7.77672,-25.4168
"160",14,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.4,14.6,213,5850,"MALE",7.8208,-25.48025
"161",15,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.8,14.6,210,4200,"FEMALE",7.79958,-25.62618
"162",16,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.3,15.7,217,5850,"MALE",8.07137,-25.52473
"163",17,"Gentoo penguin (Pygoscelis papua)","Biscoe",42,13.5,210,4150,"FEMALE",7.63884,-25.52627
"164",18,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.2,15.2,221,6300,"MALE",8.27376,-25.00169
"165",19,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.2,14.5,209,4800,"FEMALE",7.84057,-25.37899
"166",20,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.7,15.1,222,5350,"MALE",7.96491,-25.39587
"167",21,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.2,14.3,218,5700,"MALE",7.8962,-25.37746
"168",22,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.1,14.5,215,5000,"FEMALE",7.6322,-25.46569
"169",23,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.5,14.5,213,4400,"FEMALE",7.90436,-25.3947
"170",24,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.3,15.8,215,5050,"MALE",7.90971,-25.38157
"171",25,"Gentoo penguin (Pygoscelis papua)","Biscoe",42.9,13.1,215,5000,"FEMALE",7.68528,-25.39181
"172",26,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.1,15.1,215,5100,"MALE",7.83733,-25.42826
"173",28,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.8,15,215,5650,"MALE",7.92358,-25.48383
"174",29,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.2,14.3,210,4600,"FEMALE",7.6887,-25.50811
"175",30,"Gentoo penguin (Pygoscelis papua)","Biscoe",50,15.3,220,5550,"MALE",8.30515,-25.19017
"176",31,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.3,15.3,222,5250,"MALE",NA,NA
"177",32,"Gentoo penguin (Pygoscelis papua)","Biscoe",42.8,14.2,209,4700,"FEMALE",7.63452,-25.46327
"178",33,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.1,14.5,207,5050,"FEMALE",7.97408,-25.53768
"179",34,"Gentoo penguin (Pygoscelis papua)","Biscoe",59.6,17,230,6050,"MALE",7.76843,-25.6821
"180",35,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.1,14.8,220,5150,"FEMALE",7.89744,-26.63405
"181",36,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.4,16.3,220,5400,"MALE",8.03659,-26.86127
"182",37,"Gentoo penguin (Pygoscelis papua)","Biscoe",42.6,13.7,213,4950,"FEMALE",7.96935,-26.70968
"183",38,"Gentoo penguin (Pygoscelis papua)","Biscoe",44.4,17.3,219,5250,"MALE",8.13746,-26.79093
"184",39,"Gentoo penguin (Pygoscelis papua)","Biscoe",44,13.6,208,4350,"FEMALE",8.01979,-26.68311
"185",40,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.7,15.7,208,5350,"MALE",8.14776,-26.84506
"186",41,"Gentoo penguin (Pygoscelis papua)","Biscoe",42.7,13.7,208,3950,"FEMALE",8.14567,-26.59467
"187",42,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.6,16,225,5700,"MALE",8.38324,-26.84272
"188",43,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.3,13.7,210,4300,"FEMALE",8.37615,-26.72791
"189",44,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.6,15,216,4750,"MALE",8.26548,-26.7699
"190",45,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.5,15.9,222,5550,"MALE",8.46894,-26.60436
"191",46,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.6,13.9,217,4900,"FEMALE",8.27141,-26.7765
"192",47,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.5,13.9,210,4200,"FEMALE",8.47829,-26.61788
"193",48,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.5,15.9,225,5400,"MALE",8.65803,-26.57585
"194",49,"Gentoo penguin (Pygoscelis papua)","Biscoe",44.9,13.3,213,5100,"FEMALE",8.45167,-26.89644
"195",50,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.2,15.8,215,5300,"MALE",8.55868,-26.67799
"196",51,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.6,14.2,210,4850,"FEMALE",8.38289,-26.86352
"197",52,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.5,14.1,220,5300,"MALE",8.39867,-26.79358
"198",53,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.1,14.4,210,4400,"FEMALE",8.51951,-27.01854
"199",54,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.1,15,225,5000,"MALE",8.50153,-26.61414
"200",55,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.5,14.4,217,4900,"FEMALE",8.48789,-26.83006
"201",56,"Gentoo penguin (Pygoscelis papua)","Biscoe",45,15.4,220,5050,"MALE",8.63488,-26.75621
"202",57,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.8,13.9,208,4300,"FEMALE",8.58319,-26.84415
"203",58,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.5,15,220,5000,"MALE",8.63604,-26.7489
"204",59,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.2,14.5,208,4450,"FEMALE",8.48367,-26.86485
"205",60,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.4,15.3,224,5550,"MALE",8.74647,-26.79846
"206",61,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.3,13.8,208,4200,"FEMALE",8.65015,-26.79053
"207",62,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.2,14.9,221,5300,"MALE",8.60092,-26.84374
"208",63,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.7,13.9,214,4400,"FEMALE",8.6287,-26.60484
"209",64,"Gentoo penguin (Pygoscelis papua)","Biscoe",54.3,15.7,231,5650,"MALE",8.49662,-26.84166
"210",65,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.8,14.2,219,4700,"FEMALE",8.60447,-26.61601
"211",66,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.8,16.8,230,5700,"MALE",8.47067,-26.69166
"212",68,"Gentoo penguin (Pygoscelis papua)","Biscoe",49.5,16.2,229,5800,"MALE",8.49854,-26.74809
"213",69,"Gentoo penguin (Pygoscelis papua)","Biscoe",43.5,14.2,220,4700,"FEMALE",8.64931,-26.68867
"214",70,"Gentoo penguin (Pygoscelis papua)","Biscoe",50.7,15,223,5550,"MALE",8.63551,-26.74249
"215",71,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.7,15,216,4750,"FEMALE",8.53018,-26.72751
"216",72,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.4,15.6,221,5000,"MALE",8.35078,-26.70783
"217",73,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.2,15.6,221,5100,"MALE",8.24651,-26.66958
"218",74,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.5,14.8,217,5200,"FEMALE",8.58487,-26.5929
"219",75,"Gentoo penguin (Pygoscelis papua)","Biscoe",46.4,15,216,4700,"FEMALE",8.47938,-26.9547
"220",76,"Gentoo penguin (Pygoscelis papua)","Biscoe",48.6,16,230,5800,"MALE",8.5964,-26.71199
"221",77,"Gentoo penguin (Pygoscelis papua)","Biscoe",47.5,14.2,209,4600,"FEMALE",8.39299,-26.78733
"222",78,"Gentoo penguin (Pygoscelis papua)","Biscoe",51.1,16.3,220,6000,"MALE",8.40327,-26.76821
"223",79,"Gentoo penguin (Pygoscelis papua)","Biscoe",45.2,13.8,215,4750,"FEMALE",8.24694,-26.65359
